incident_id,category,event_count,threat_level,rank_1,rank_2,rank_3,rank_4,gpt_4o_score,gpt_4o_mini_score,qwen25_score,qwen25_3b_score,gpt_4o_position,gpt_4o_mini_position,qwen25_position,qwen25_3b_position
13165ff7-b5c1-44b6-8778-ce30d9620d96,Malware,1090,15.320000000000004,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,2,4,2,1,4,3
136fcdbd-5360-4ee4-b028-995cde73e910,Malware,24,15.36000000000001,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,6,7,3,2,2,1,3,4
13d86553-deed-4545-96ef-1adbdebcc6df,Malware,154,15.1,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,6,5,2,4,1,2,4,3
141a08f7-17c4-45cc-8c94-b84217c2991b,Malware,41,15.35,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,6,5,2,7,2,3,4,1
142c21e4-adf9-4ff1-878e-b58c6daab4c4,Malware,97,15.1,Qwen2.5,GPT-4o-mini,Qwen2.5 3b,GPT-4o,4,6,7,5,4,2,1,3
178945c8-5e6d-4a58-b268-f3a592627504,Malware,4666,15.080000000000005,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,7,8,3,2,2,1,3,4
17ae6242-64dd-4322-910e-460255aada6c,Malware,1787,15.1,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,5,4,2,6,2,3,4,1
17f3cc6a-7768-4b03-b1ed-050715492085,Malware,108,15.350000000000001,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,8,6,4,2,1,2,3,4
181459b8-0e7a-439d-b46f-993c694d85ce,Malware,107,15.100000000000001,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,GPT-4o,1,8,5,3,4,1,2,3
187b293b-22c2-4ffc-a902-fff44a21b9ea,Malware,43,15.350000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,3,4,1,2,4,3
19561f12-3209-4afb-938f-8ca4c1be4ee6,Malware,132,15.350000000000001,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,7,8,5,3,2,1,3,4
1ad29983-3978-4b4f-ae84-29a7560d0b05,Malware,80,15.100000000000001,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,6,5,2,7,2,3,4,1
1ba97e87-8a77-49d5-b2a9-465a6357fa0b,Malware,24,15.36000000000001,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,GPT-4o,1,8,5,4,4,1,2,3
1bcf269b-3ade-46d8-92c0-09208dc7bb99,Malware,103,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,7,6,2,5,1,2,4,3
1c0e7dfd-1c09-4328-abbd-1db41b69dbe5,Malware,31,15.35,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,2,5,1,2,4,3
1c2e46b9-1b34-4bc6-8151-4de5ba38f1c0,Malware,101,15.100000000000001,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,1,8,3,5,4,1,3,2
1d88d9e4-305b-47e3-a4c8-213b2f1bd19a,Malware,4656,15.160000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,1,3,1,2,4,3
1ea0a1a2-bec7-46a0-9990-53ac0a943e50,Malware,85,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,6,2,4,1,2,4,3
1f0cb5a9-2c53-4e25-833f-39989f396c3a,Malware,96,15.150000000000002,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,3,5,2,1,4,3
1f1f6ca2-6ade-4a8c-944a-51ad0f875d04,Malware,142,15.400000000000002,GPT-4o-mini,Qwen2.5 3b,GPT-4o,Qwen2.5,4,6,2,5,3,1,4,2
1f33c314-392b-499b-b0df-7968a77e911d,Malware,515,15.3,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,7,5,3,4,1,2,4,3
1f806d00-227b-4a34-b4db-c564669e1ee0,Malware,4757,15.000000000000005,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,4,5,3,2,2,1,3,4
20bc546e-2c25-4b37-a1ff-5a2a3db8cb35,Malware,240,15.600000000000003,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,7,5,2,4,1,2,4,3
20c90bb1-30e4-4ff2-b1ba-b017a736eef9,Malware,103,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,8,6,4,2,1,2,3,4
20c9c604-96d1-49e1-9a97-e8a3566486a5,Malware,139,15.4,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,7,6,3,4,1,2,4,3
2155246c-afed-4b27-8cd1-b801753c453e,Malware,1710,15.120000000000003,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,8,7,4,3,1,2,3,4
219e5ff2-5eec-4849-8fde-492b059523c3,Malware,3408,15.600000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,6,5,1,3,1,2,4,3
22294332-952d-4e97-b434-831626cdd75c,Malware,4398,15.520000000000005,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,2,4,2,1,4,3
22668c8b-e502-4015-a371-5984fa79ae9e,Malware,6538,15.720000000000006,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,2,3,2,1,4,3
2270797e-b4e6-48a4-b43a-d2bc56c5e679,Malware,2586,15.080000000000005,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,4,5,2,1,2,1,3,4
22d7075d-bda3-4b06-9049-ea99f52eddf9,Malware,1999,15.320000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,2,4,1,2,4,3
23c12453-1959-4043-9e58-a8c0a59de316,Malware,116,15.100000000000001,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,1,8,4,6,4,1,3,2
24629b25-ebc2-478c-885c-e1e20c5f0747,Malware,104,15.1,Qwen2.5 3b,GPT-4o-mini,GPT-4o,Qwen2.5,4,5,3,7,3,2,4,1
251b9d43-3f9e-454c-b479-9634fcee68b5,Malware,3212,15.360000000000007,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,5,6,3,2,2,1,3,4
25461abf-9be5-4fa9-9e22-5a88b3f1df87,Malware,5566,15.720000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,6,2,4,1,2,4,3
254a59a5-673e-438b-9bbb-384938284ffe,Malware,100,15.650000000000002,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,3,5,1,2,4,3
257a4ed5-d056-48c3-a82f-e8270d828ef7,Malware,104,15.100000000000001,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,GPT-4o,4,8,7,5,4,1,2,3
25c950c0-6b3c-4ff1-82e8-26df925b41cf,Malware,111,15.350000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,3,5,2,1,4,3
26a66bc0-17e2-4a9e-9cbd-7a820111f149,Malware,1520,15.320000000000006,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,3,5,2,1,4,3
26d381b1-061c-4846-a6af-bddf2a9e6a18,Malware,90,15.120000000000001,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,7,6,3,8,2,3,4,1
275afe01-efe0-4c6e-b2e8-6ef56168646f,Malware,4877,15.120000000000003,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,8,7,3,2,1,2,3,4
27c08877-ebbd-4ee4-907b-bea0a16317d5,Malware,299,15.160000000000005,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,1,7,4,6,4,1,3,2
27e2ee2e-3bf9-4ecc-aad7-f0e397ff40cd,Malware,173,15.040000000000004,Qwen2.5 3b,GPT-4o-mini,GPT-4o,Qwen2.5,4,5,2,7,3,2,4,1
28fe511d-8b2c-4b69-b688-7fb5f6935551,Malware,226,15.4,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,6,5,2,8,2,3,4,1
2940aa5b-a888-4cde-ae3c-f152edf2e68a,Malware,4274,15.040000000000003,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,8,2,4,2,1,4,3
2971e7a7-5f85-4745-9e4e-0e4a56465e60,Malware,105,15.100000000000001,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,7,5,3,8,2,3,4,1
298b0c57-c3e8-45f6-afcd-a7e8ed7246fe,Malware,2947,15.160000000000002,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,8,7,4,2,1,2,3,4
298d32e9-8dfc-4574-aed2-aa4e48b968d0,Malware,107,15.100000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,8,3,4,2,1,4,3
29c2fe35-2cf6-4ba0-bfd6-19c95f58b512,Malware,3192,15.240000000000006,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,2,4,2,1,4,3
29e96cf2-63ed-4de8-8e0e-c53ba99eff10,Malware,95,15.650000000000002,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,3,4,2,1,4,3
2a867354-cf5a-4703-bd86-ee6e85a395ab,Malware,24,15.36000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,2,4,2,1,4,3
2c219442-8dea-430a-9cff-b3f842e97573,Malware,69,15.100000000000001,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,6,4,2,7,2,3,4,1
2c2e040b-45d4-4113-9490-d7d4b248e782,Malware,95,15.100000000000001,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,5,4,2,7,2,3,4,1
2c86c1db-4de7-4b84-9f90-6710b3a89c1f,Malware,2569,15.720000000000006,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,7,9,4,2,2,1,3,4
2df55a69-ab84-4562-b5a7-a4d9239605fe,Malware,108,15.100000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,4,5,2,3,2,1,4,3
2e17f9d1-9dca-44d8-979b-95575a47ad10,Malware,96,15.350000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,2,5,2,1,4,3
2e4b7d0d-da77-433a-9ae1-12b1793a5b8b,Malware,1445,15.4,Qwen2.5 3b,GPT-4o-mini,Qwen2.5,GPT-4o,2,6,4,8,4,2,3,1
2eb4867c-a834-4e1e-8dc5-285784e620d0,Malware,866,15.100000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,8,3,4,2,1,4,3
2eb541d8-fd1d-4c77-a93c-79d3c0173f8a,Malware,123,15.350000000000001,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,5,4,3,6,2,3,4,1
2ec9fbd0-e298-4d63-b525-0b714c711486,Malware,3017,15.560000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,2,5,1,2,4,3
2eecb254-1145-49fd-93c5-ea771bc9bd40,Malware,6334,15.000000000000005,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,2,3,2,1,4,3
2efcf77c-1f1a-4074-a4f8-05c3557b78b4,Malware,203,15.0,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,7,6,3,5,1,2,4,3
2f034815-a051-4bc8-9e14-6c0d28333a22,Malware,28,15.36000000000001,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,1,6,3,5,4,1,3,2
302145e2-68a6-4bf9-8686-a00d55f8a44f,Malware,34,15.0,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,6,7,5,3,2,1,3,4
304b2da9-1bb8-40c6-89b8-615f1a71d2a3,Malware,6267,15.000000000000005,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,8,2,4,2,1,4,3
309107ca-c913-4645-931c-a2e6f6c01d24,Malware,32,15.35,Qwen2.5,GPT-4o-mini,GPT-4o,Qwen2.5 3b,4,5,6,3,3,2,1,4
30f0f33b-eda3-47c8-b9ad-ab86ea2a9dd4,Malware,76,15.1,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,6,2,5,1,2,4,3
311e9654-c70d-48aa-b5fd-7cf8fd934d8d,Malware,125,15.350000000000001,Qwen2.5 3b,GPT-4o-mini,Qwen2.5,GPT-4o,1,6,3,8,4,2,3,1
31abd362-a413-4ca7-86f4-6968cd30f198,Malware,24,15.36000000000001,Qwen2.5 3b,GPT-4o-mini,GPT-4o,Qwen2.5,4,6,2,8,3,2,4,1
31cbdda6-ea85-40e2-864c-71a07a9431dd,Malware,70,15.35,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,3,5,2,1,4,3
322435a0-21bf-4095-813f-1dd99564faa0,Malware,873,15.640000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,9,8,2,5,1,2,4,3
32259799-68b1-49c6-8c62-17076d3ac40f,Malware,118,15.100000000000001,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,6,8,4,3,2,1,3,4
32b65d89-6880-44dc-b513-47811300c2e9,Malware,4060,15.160000000000007,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,5,7,3,2,2,1,3,4
337a0621-6a1c-493d-8f53-cfffb10bb2f9,Malware,5027,15.120000000000005,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,2,3,2,1,4,3
33ba1f1a-39d2-4b50-a7d9-8d96eafd8e7c,Malware,4345,15.160000000000004,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,1,3,2,1,4,3
33c32b29-7b67-48fe-b423-93c6c4861056,Malware,2505,15.280000000000005,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,1,8,4,5,4,1,3,2
343560c2-e0f5-447b-a96f-b2d8bb6b5aa8,Malware,6223,15.120000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,1,4,1,2,4,3
344bcc67-173f-4388-8739-a0b40f49139d,Malware,37,15.32,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,6,5,2,8,2,3,4,1
346ad1b0-cc8a-47a9-a348-f743ec5afbb9,Malware,82,15.100000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,3,4,2,1,4,3
35542e2d-eb02-4b66-8d6b-a292c1ce44f8,Malware,105,15.100000000000001,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,4,3,2,5,2,3,4,1
3596a47c-d601-4365-a255-32265c806deb,Malware,100,15.350000000000001,GPT-4o-mini,Qwen2.5,GPT-4o,Qwen2.5 3b,4,6,5,3,3,1,2,4
35dfc425-5c6f-4609-990e-f381f414ce5f,Malware,58,15.1,Qwen2.5 3b,GPT-4o-mini,GPT-4o,Qwen2.5,4,5,2,7,3,2,4,1
36153646-9644-4586-8cee-691f6eb91724,Malware,134,15.400000000000002,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,5,6,2,4,2,1,4,3
36ff3b8c-5df8-4faa-ba39-48ad97730d8a,Malware,33,15.100000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,3,4,2,1,4,3
372a0467-e6a7-447e-917c-6b77cef21a8e,Malware,966,15.600000000000005,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,2,4,2,1,4,3
376bc2fb-f771-4b63-8942-3a06bde4693a,Malware,103,15.100000000000001,GPT-4o-mini,Qwen2.5 3b,GPT-4o,Qwen2.5,4,6,2,5,3,1,4,2
37836006-3a66-4b0d-85e8-4a583aa8f132,Malware,134,15.15,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,6,5,2,4,1,2,4,3
3802cbf4-12ea-414d-b73e-35b065c79d5b,Malware,912,15.200000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,6,5,2,4,1,2,4,3
386974a1-e826-4a84-a8d5-33299df19285,Malware,3778,15.120000000000006,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,7,8,5,3,2,1,3,4
39155418-d318-4f5a-80cd-d604c91eddce,Malware,868,15.080000000000005,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,1,8,4,6,4,1,3,2
3abcf1aa-eee6-4eb1-a8fc-2be8e31ae6a0,Malware,6478,15.160000000000005,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,2,5,2,1,4,3
3ac84e1d-ef67-4c52-af28-f8c3c6f98850,Malware,4239,15.680000000000007,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,1,5,2,3,4,1,3,2
3b73a910-8dd5-43fa-8409-d17010ea183e,Malware,83,15.100000000000001,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,GPT-4o,1,8,6,3,4,1,2,3
3b825d6a-1eae-4321-8aeb-82a39af10ce5,Malware,33,15.350000000000001,Qwen2.5 3b,GPT-4o-mini,GPT-4o,Qwen2.5,4,5,2,7,3,2,4,1
3c11d053-ad8f-4865-aee8-1dee154ddb4c,Malware,100,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,6,5,3,2,1,2,3,4
3cdb0a8c-5b6e-4759-8f80-6822231e409d,Malware,595,15.080000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,4,6,1,2,4,3
3d2af33c-0ae7-4459-a586-bcc4c67062a2,Malware,32,15.1,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,2,5,1,2,4,3
3d91f966-db32-46b2-a7f4-7d3c742f8b44,Malware,31,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,6,2,4,1,2,4,3
3dc3a306-d7ae-4b93-83a2-511e3257f591,Malware,97,15.1,GPT-4o,Qwen2.5,Qwen2.5 3b,GPT-4o-mini,8,4,6,5,1,4,2,3
3dcaa1a2-dab1-455a-8891-87487d56535b,Malware,101,15.35,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,3,5,2,1,4,3
3ebdd68e-84a4-4b21-ad78-b89fd543aaa0,Malware,140,15.400000000000002,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,6,7,4,3,2,1,3,4
3f886e48-292f-4e27-9a0b-dcc8789d65fe,Malware,112,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,7,6,3,5,1,2,4,3
3fccb3ea-70d0-4530-ac9a-18653b312851,Malware,124,15.100000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,3,5,2,1,4,3
3fd2d714-c035-4b23-bfd3-fc5d2c9c2e82,Malware,114,15.100000000000001,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,7,6,3,9,2,3,4,1
40c4c5fc-f00a-4af7-9573-176eaf1a8556,Malware,31,15.35,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,8,2,5,2,1,4,3
40ca1371-2894-4f3a-bb0f-b4505b852d53,Malware,5985,15.400000000000006,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,3,4,2,1,4,3
40ce2e98-73f9-468b-a53b-c7a9c9e399f0,Malware,7322,15.120000000000006,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,2,3,2,1,4,3
42dfb339-a245-4228-ab2f-761658272658,Malware,84,15.100000000000001,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,1,7,3,6,4,1,3,2
4430ab67-9bae-43fb-91c5-e19a7252449d,Malware,109,15.100000000000001,Qwen2.5 3b,GPT-4o-mini,GPT-4o,Qwen2.5,5,5,3,6,3,2,4,1
44799b5d-c725-479c-aae8-72190418b229,Malware,108,15.1,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,1,7,3,5,4,1,3,2
46233c17-b65e-47e0-95fe-9425d9e9f1e5,Malware,104,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,7,6,3,4,1,2,4,3
464970ed-8397-4717-ab48-1d630e0dded6,Malware,2604,15.000000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,7,6,2,3,1,2,4,3
4694cfce-6156-42fc-beb1-2a8d027e2c41,Malware,32,15.1,Qwen2.5 3b,GPT-4o-mini,GPT-4o,Qwen2.5,5,6,2,8,3,2,4,1
46aafc2d-d647-44a7-86cf-53aba64d4331,Malware,2831,15.100000000000003,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,2,4,1,2,4,3
46d6022c-b2f0-48b6-aedb-07b43f3020ad,Normal,552,15.200000000000008,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,2,4,1,2,4,3
46da9492-8c85-4f78-be6b-de5fad10c5fa,Malware,964,15.040000000000004,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,6,5,2,4,1,2,4,3
46fe34bc-237f-42ed-942c-71045e3decd6,Malware,3649,15.280000000000006,GPT-4o-mini,GPT-4o,Qwen2.5,Qwen2.5 3b,6,7,4,1,2,1,3,4
47015bc2-1279-4ed8-94b4-1777fdf0a0a0,Malware,116,15.1,GPT-4o,Qwen2.5 3b,GPT-4o-mini,Qwen2.5,8,5,3,6,1,3,4,2
47f0185b-b1d7-4e1b-8c42-66955398b1df,Malware,91,15.350000000000001,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,3,5,1,2,4,3
48b4e567-ddd5-47aa-b534-6b43914c874b,Malware,1271,15.3,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,8,7,5,3,1,2,3,4
